,title,content,source,link
0,“Bạn xấu như chiếc bóng”,"Bạn xấu như chiếc bóng
Cứ bám riết theo anh
Khi anh sáng, rực rỡ
Như mặt trời long lanh

Nhưng họ sẽ biến mất
Khi trời phủ mây đen
Tức là khi anh đói
Trong túi không có tiền",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/B%E1%BA%A1n-x%E1%BA%A5u-nh%C6%B0-chi%E1%BA%BFc-b%C3%B3ng/poem-4r1MApTHwgzgxicR8oy7nQ
1,“Chiều vừa xốp trên tay”,"Chiều vừa xốp trên tay
Chợt nghe thoáng ong bay
Có ai vừa chết nhỉ
Mây thắt tang trăng gầy

Ớt đỏ sao cứ đỏ
Táo chín cho thật vàng
Em đẹp cho thêm đẹp
Để mắt ngừng lang thang",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/L%C3%A2m-Huy-Nhu%E1%BA%ADn/Chi%E1%BB%81u-v%E1%BB%ABa-x%E1%BB%91p-tr%C3%AAn-tay/poem-f31v-s36HNxJNqauIrC7Xw
2,“Chơi thân không có nghĩa”,"Chơi thân không có nghĩa
Không cãi nhau bao giờ
Không làm nhau tức giận
Hay đôi lúc hững hờ

Vấn đề là ở chỗ
Đã chơi thân với nhau
Thì phải nên kiềm chế
Đừng giận dỗi quá lâu",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Ch%C6%A1i-th%C3%A2n-kh%C3%B4ng-c%C3%B3-ngh%C4%A9a/poem-UHcGs3KT2AX8C0LsaFsT3w
3,“Có thể buồn chút ít”,"Có thể buồn chút ít
Một mình, không người yêu
Nhưng tình yêu bất hạnh
Thực sự buồn hơn nhiều",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/C%C3%B3-th%E1%BB%83-bu%E1%BB%93n-ch%C3%BAt-%C3%ADt/poem-hW1hoVM5fXDL1q_pi91DAw
4,“Có thể có ông bố”,"Có thể có ông bố
Không yêu con; xưa nay
Đã ông là yêu cháu
Tôi khẳng định điều này",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/C%C3%B3-th%E1%BB%83-c%C3%B3-%C3%B4ng-b%E1%BB%91/poem-07LDSru7njk6vpq-Vn5Hag
5,“Dưới giàn hoa thiên lý...”,"Dưới giàn hoa thiên lý
Một mình anh đang ngồi
Không dưng em bước tới
Anh bỗng thành song đôi",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-Nh%E1%BA%ADt-%C3%81nh/D%C6%B0%E1%BB%9Bi-gi%C3%A0n-hoa-thi%C3%AAn-l%C3%BD/poem-u0YIZsC-pwwY1Khy_e96OQ
6,“Đàn ông đòi phụ nữ”,"Đàn ông đòi phụ nữ
Dâng hiến hết cho mình
Được rồi, lại ca cẩm
Chuyện vợ con, gia đình

Tức là họ chỉ muốn
Phần đẹp của hôn nhân
Và trút hết cho vợ
Phần lo lắng, nhọc nhằn",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%C3%A0n-%C3%B4ng-%C4%91%C3%B2i-ph%E1%BB%A5-n%E1%BB%AF/poem--FB25HAZPRKsei049lfNvQ
7,"“Đến, nhiều nơi để đến”","Đến, nhiều nơi để đến
Về, trở lại với mình
Chỉ duy nhất một chốn
Chốn ấy là gia đình",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%E1%BA%BFn-nhi%E1%BB%81u-n%C6%A1i-%C4%91%E1%BB%83-%C4%91%E1%BA%BFn/poem-39NZptOCqcWR7beS-TJcOg
8,“Đừng bao giờ dại dột”,"Đừng bao giờ dại dột
Đem chuyện riêng của mình
Tâm sự với người khác
Đây, con số chứng minh:

Hai phần ba trong họ
Sẽ chẳng thèm quan tâm
Một phần ba còn lại
Nghe xong, lòng vui thầm",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%E1%BB%ABng-bao-gi%E1%BB%9D-d%E1%BA%A1i-d%E1%BB%99t/poem-G6OAEVSjTKCAXXDhIoGKyA
9,“Hầu hết các đồ vật”,"Hầu hết các đồ vật
Ta muốn đều đắt tiền
Một khi không có được
Ta cảm thấy buồn phiền

Trong khi cái thực sự
Làm ta vui ở đời
Hoàn toàn không tốn kém
Là tình yêu, tiếng cười",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/H%E1%BA%A7u-h%E1%BA%BFt-c%C3%A1c-%C4%91%E1%BB%93-v%E1%BA%ADt/poem-UgNEBlIDpJW5xfeygCe28g
10,“Hiện tại anh đang sống”,"Hiện tại anh đang sống
Không được để phí hoài
Vì nỗi buồn quá khứ
Và sợ hãi tương lai",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Hi%E1%BB%87n-t%E1%BA%A1i-anh-%C4%91ang-s%E1%BB%91ng/poem-pYUpg8fOuGOnRLk0QFmMWQ
11,“Học Đạo quý vô tâm”,"Học Đạo quý vô tâm
Làm, nghĩ, nói không lầm
Sáng, trong và lặng lẽ
Giản dị mới uyên thâm","Ngày 09-11-2010

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Vi%C3%AAn-Minh/H%E1%BB%8Dc-%C4%90%E1%BA%A1o-qu%C3%BD-v%C3%B4-t%C3%A2m/poem-18g-oWPgDeFO85dVTntmTg
12,“Khi cô gái im lặng”,"Khi cô gái im lặng
Năm lý do như sau:
Một, nàng đang tức giận
Hai, nàng đang buồn đau

Ba, nàng sắp bùng nổ
Bốn, nàng nghi ngờ mình
Năm, và quan trọng nhất
Nàng chờ bạn tỏ tình",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Khi-c%C3%B4-g%C3%A1i-im-l%E1%BA%B7ng/poem-JGuKQCVpULYCIRVVfQK-2g
13,“Khi gặp chuyện phiền muộn”,"Khi gặp chuyện phiền muộn
Và đầu óc nặng nề
Dạo bộ khoảng mươi phút
Bạn sẽ thấy ô-kê

Các nhà khoa học nói
Dạo bộ làm gia tăng
Các hoá chất trong não
Giúp bạn thấy cân bằng",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Khi-g%E1%BA%B7p-chuy%E1%BB%87n-phi%E1%BB%81n-mu%E1%BB%99n/poem-V4wjxdwmRNFxRn2C9S9iyA
14,“Khi tiếng niệm Di Đà”,"Khi tiếng niệm Di Đà
Vang vọng trong tâm ta
Rơi đi những phiền não
Cho Bồ đề nở hoa",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%ADch-Ch%C3%A2n-T%C3%ADnh/Khi-ti%E1%BA%BFng-ni%E1%BB%87m-Di-%C4%90%C3%A0/poem-pDbZtZ1CigVW422eL0CQ2g
15,“Khoẻ - không phải nhấc mạnh”,"Khoẻ - không phải nhấc mạnh
Mà biết đặt nhẹ nhàng
Kính - đối với người dưới
Như những người ngang hàng

Lớn - không ở to tát
Mà ở điều bình thường
Đẹp - không ở khuôn mặt
Mà trái tim yêu thương

Tốt - không ở lời nói
Mà việc làm hàng ngày
Cuốn sách đẹp, bìa cứng
Chưa hẳn là sách hay",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Kho%E1%BA%BB-kh%C3%B4ng-ph%E1%BA%A3i-nh%E1%BA%A5c-m%E1%BA%A1nh/poem-AcjlU8CFbBUa5ZwreL_Qpw
16,“Không thể kiểm tra bạn”,"Không thể kiểm tra bạn
Như ta kiểm tra tiền
Muốn xem thật hay giả
Đem soi trước bóng đèn",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Kh%C3%B4ng-th%E1%BB%83-ki%E1%BB%83m-tra-b%E1%BA%A1n/poem-OrB3lHwvfpxlSwoSsC8pUQ
17,“Lòng tôi là cây khế...”,"Lòng tôi là cây khế
Em là chim về chơi
Vàng kia em chẳng trả
Chỉ nhả hạt xuống thôi
Hạt rớt xuống thành cây
Cây cũng toàn cây khế
Từ khi em đi rồi
Vườn tôi thành lặng lẽ
Biết bao giờ trở lại
Cánh chim em ngày nào
Lòng tôi hoa khế rụng
Xuống nỗi buồn nôn nao...",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-Nh%E1%BA%ADt-%C3%81nh/L%C3%B2ng-t%C3%B4i-l%C3%A0-c%C3%A2y-kh%E1%BA%BF/poem-piaOE_aXABBrdEkka4gaag
18,“Mẹ vẫn luôn là mẹ”,"Me vẫn luôn là mẹ
Suốt đời lo cho con
Cả khi con còn nhỏ
Cả khi con lớn khôn

Cả khi con lấy vợ
Cả khi cháu đầy nhà
Cả khi nằm chờ chết
Thế đấy, mẹ chúng ta

Còn chúng ta, ích kỷ
Luôn dựa vào mẹ mình
Cả khi ta còn nhỏ
Cả khi ta trưởng thành

Cả khi ta lấy vợ
Cả khi cháu đầy nhà
Cả khi mẹ sắp chết
Vâng, thế đấy, chúng ta",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/M%E1%BA%B9-v%E1%BA%ABn-lu%C3%B4n-l%C3%A0-m%E1%BA%B9/poem-txtUESBDZd17qIOjd8zXag
19,“Một đời người quá ngắn”,"Một đời người quá ngắn
Một ngày sao quá dài
Bao nhiêu Sao Hôm lặn
Chẳng mọc thành Sao Mai","8-1992

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Nguy%E1%BB%85n-S%C4%A9-%C4%90%E1%BA%A1i/M%E1%BB%99t-%C4%91%E1%BB%9Di-ng%C6%B0%E1%BB%9Di-qu%C3%A1-ng%E1%BA%AFn/poem-3_1pIhihPm0StpgLBOxEIQ
20,“Một người đàn bà đẹp”,"Một người đàn bà đẹp
Mà có lòng thương người
Thì người đàn bà ấy
Càng xinh đẹp gấp mười",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/M%E1%BB%99t-ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0n-b%C3%A0-%C4%91%E1%BA%B9p/poem-dPA9dK7U40qKgzRWrUaWwg
21,“Nếu muốn làm gì đấy”,"Nếu muốn làm gì đấy
Thì phải làm say mê
Không thì nghỉ cho khoẻ
Đừng nửa này nửa kia",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/N%E1%BA%BFu-mu%E1%BB%91n-l%C3%A0m-g%C3%AC-%C4%91%E1%BA%A5y/poem-tTo-G66NSaSIuRYBJ8H9iA
22,“Ngoảnh mặt với bệ rồng”,"Ngoảnh mặt với bệ rồng
xua vàng khối bạc thẻ
dẫu đao phủ vung gươm
cũng đừng mong đổi ý

Nhưng gặp bạn tri âm
dù ngục tù cũng ở
người đẹp của muôn thuở
gần gũi và xa vời",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-V%C5%A9-Ti%E1%BB%81m/Ngo%E1%BA%A3nh-m%E1%BA%B7t-v%E1%BB%9Bi-b%E1%BB%87-r%E1%BB%93ng/poem-WPWUR8J33_9m_c2jHvi_Ww
23,“Người ấy”,"""Người ấy"" xưa, gầy lắm
Mỏng mảnh khói sương buồn
Đôi mắt nhìn đăm đắm
Giấu một trời mưa tuôn

Cổng trường thời đi học
Tôi vẫn thường theo sau
Mười năm xa, mái tóc...
Còn vương hương thuở nào

""Người ấy"" không che nón
Mỗi khi tan học về
Không thích ai đưa đón
Dẫu đường dài lê thê

Ôi một thời ngây thơ
Khù khờ mà bướng bỉnh
Tôi lóng ngóng, lơ ngơ
Nhút nhát rồi...câm nín

Nên mùa chia tay ấy
Mặc phượng hồng lung linh
Và ve sầu trổi dậy
Tôi chỉ nhìn... lặng thinh

Bây giờ, ngồi tiếc nhớ
Ngày xanh - tuổi dại khờ
Ước chi đừng cách trở
""Người ấy"" về trong...mơ",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/%C4%90%E1%BB%97-Quang-Vinh/Ng%C6%B0%E1%BB%9Di-%E1%BA%A5y/poem-QhCdBKEHaOevyIqXvrZ_aw
24,“Người ham muốn càng ít”,"Người ham muốn càng ít
Sẽ càng ít buồn lo
Người nhu cầu tối thiểu
Là tột đỉnh tự do",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Ng%C6%B0%E1%BB%9Di-ham-mu%E1%BB%91n-c%C3%A0ng-%C3%ADt/poem-5hA9VeK-VBUR8UhGQP08ng
25,“Người ta đã tổng kết”,"Người ta đã tổng kết:
Chỉ khoảng mười phần trăm
Lý do gây cãi vã
Do khác ý, hiểu lầm

Chín mươi phần còn lại
Chỉ vì do hai bên
Nóng giận và cao giọng
Chuyện nhỏ mà ầm lên",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Ng%C6%B0%E1%BB%9Di-ta-%C4%91%C3%A3-t%E1%BB%95ng-k%E1%BA%BFt/poem-b3wJlMGAQgY_c_0Az_mUlw
26,“Những lúc mình vui sướng”,"Những lúc mình vui sướng
Hãy thầm hỏi trong lòng:
“Liệu có ai phải khổ
Vì niềm vui này không?”",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Nh%E1%BB%AFng-l%C3%BAc-m%C3%ACnh-vui-s%C6%B0%E1%BB%9Bng/poem-kIw-35TDUY7h9xlMBMaguw
27,“Niết bàn không phải núi”,"Niết bàn không phải núi
Nên chi chẳng cần đường
Tự mình còn chẳng thấy
Thấy chi chỗ nhờ nuơng!","Ngày 29-12-2010

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Vi%C3%AAn-Minh/Ni%E1%BA%BFt-b%C3%A0n-kh%C3%B4ng-ph%E1%BA%A3i-n%C3%BAi/poem-4T1M6O92FmFEVIN8kDOWXg
28,“Quyết tâm và nghị lực”,"Quyết tâm và nghị lực
Giúp người ta đứng lên
Cả trong những trường hợp
Tưởng không thể đứng lên",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Quy%E1%BA%BFt-t%C3%A2m-v%C3%A0-ngh%E1%BB%8B-l%E1%BB%B1c/poem-m_LFiY1iihAIgAP47zM0dw
29,“Ta buồn khi phải thấy”,"Ta buồn khi phải thấy
Nhiều người bỏ rơi ta
Buồn hơn khi chính họ
Từng thề luôn bên ta",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Ta-bu%E1%BB%93n-khi-ph%E1%BA%A3i-th%E1%BA%A5y/poem-ZGvJypvP7suWb3AyiojYCQ
30,“Tài là do thiên phú”,"Tài là do thiên phú
Đức là do mình rèn
Hai cái đều quan trọng
Nhưng đức vẫn xếp trên

Có tài không có đức
Là tai hoạ cho đời
Không tài nhưng có đức
Vẫn có lợi cho người",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/T%C3%A0i-l%C3%A0-do-thi%C3%AAn-ph%C3%BA/poem-RHU0kNZhjOGffujIrpfWyA
31,“Tâm kệ”,"Rửa tay mặt

Gội rửa sạch trần hồng
như hoa ướp trầm xông
nguyện mười phương pháp giới
bi, trí khắp dung thông


Mặc áo lễ

Thân mặc áo giải thoát
lìa tập nhiễm phù vân
nguyện chúng sinh mười cõi
lìa vọng huyễn, qui chân


Thắp nến

Thắp lửa vô lượng quang
sáng soi bảy cửa ngục
nguyện chúng sinh vô vàn
về chân thân: Huệ, Đức


Đốt trầm hương

Khơi lò thanh tịnh trầm
gió đưa mười cõi thơm
nguyện theo vô lượng Phật
cúng dường tri kiến hương


Dâng quả

Như trái dâng cúng Phật
kết hạt chắc Bồ Đề
nguyện chúng sinh sáu ngả
tinh tấn chuyển tham mê


Dâng hoa

Như hoa thơm cúng Phật
tam nghiệp: giới hương xông
nguyện khắp ba thời mộng
bừng mở tâm viên đồng


Thỉnh chuông

Ba hồi âm định lực
ngọn triều chuyển sóng cao
rung động đất mê vọng
rực chiếu mười cõi sao
cầu chi ba tạng sách
chuyển hóa sáu trần lao
nguyện mười phương thế giới
thể nhập ánh Phật hào


Cúng kinh

Tâm trụ pho Diệu kinh
lắng tan ba nghiệp vọng
nguyện khắp mười phương mộng
chan chứa Phật quang minh


Mở kinh

Tay mở trang kinh thơm
như bừng khai trí huệ
cầu chư Phật mười phương
sáng soi dòng pháp kệ


Khai mõ

Như thắng cương, buộc ngựa
ý thoát khỏi mê đường
nguyện mở bảy cửa ngục
cứu nhất thiết tai ương


Khép kinh (khi tụng xong)

Vừa khép pho nhật nguyệt
lòng tỏa ánh quang minh
nguyện nêu đuốc bất nhị
soi rọi khắp sinh linh


Cởi áo lễ

Nguyện lìa nhất thiết tướng
như bỏ bè qua sông
nguyện vào nhất thiết tướng
hóa chuyển ngục trần hồng",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Ph%E1%BA%A1m-Thi%C3%AAn-Th%C6%B0/T%C3%A2m-k%E1%BB%87/poem-xBMOgwlu-MTuZ0LOVRL30g
32,“Tha lỗi lầm cho bạn”,"Tha lỗi lầm cho bạn
Là việc tốt, tất nhiên
Nhưng còn tốt hơn thế
Là cố gắng để quên",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Tha-l%E1%BB%97i-l%E1%BA%A7m-cho-b%E1%BA%A1n/poem-016zj4JDkIxrPhvSU3L5jg
33,“Thời gian như tiền bạc”,"Thời gian như tiền bạc
Anh sống qua một ngày
Thì có nghĩa ngày ấy
Không còn nữa từ nay

Thời gian như tiền bạc
Nhớ tiết kiệm từng đồng
Tiền bạc kiếm lại được
Còn thời gian thì không",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Th%E1%BB%9Di-gian-nh%C6%B0-ti%E1%BB%81n-b%E1%BA%A1c/poem-5Tb-B8IDQD0gVEmW87hRUw
34,“Tình yêu của bà mẹ”,"Tình yêu của bà mẹ
Lặng lẽ và vô bờ
Không đòi hỏi đáp lại
Không mỏi mệt bao giờ

Ý nghĩ của bà mẹ
Nâng niu bằng tâm hồn
Luôn hai lần cân nhắc
Cho mình và cho con",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/T%C3%ACnh-y%C3%AAu-c%E1%BB%A7a-b%C3%A0-m%E1%BA%B9/poem-2MTBz64vZJ13I2zatI5WMg
35,"“Trong tình yêu, xa cách”","Trong tình yêu, xa cách
Là phép thử nhiệm màu
Tình yêu mà hời hợt
Sẽ không kéo dài lâu

Ngược lại, tình yêu mạnh
Càng cách xa càng yêu
Như chân trời đỏ rực
Mỗi sáng và mỗi chiều

Xa cách là ngọn gió
Thổi tắt ánh đèn mờ
Nhưng nó, ngọn gió ấy
Làm đống lửa bùng to",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Trong-t%C3%ACnh-y%C3%AAu-xa-c%C3%A1ch/poem-ZBZ_cyYbWhYlVvweUac0aQ
36,“Tuổi tên...”,"Tuổi tên phơi phía trước
hoạ phúc ẩn sau trang",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-V%C5%A9-Ti%E1%BB%81m/Tu%E1%BB%95i-t%C3%AAn/poem-KRSvu2Y_jYRsmumGecAVNw
